,price,area,br,ba,posdt,dogs,cats,wd,house,apartment,laundry,garage,carport,furnished,latitude,longitude,zipc,num_img
44,3320.0,889.0,2.0,2.0,2018-07-11T17:36:06-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
45,1800.0,1200.0,3.0,2.0,2018-07-11T17:38:01-0700,1,1,1,0,1,0,0,0,0,47.228,-122.5396,,12.0
46,1505.0,1074.0,2.0,2.0,2018-07-11T17:43:56-0700,1,1,1,0,1,0,0,1,0,47.037792,-122.79991,,24.0
47,1650.0,1140.0,2.0,1.0,2018-07-11T17:43:50-0700,0,0,0,0,1,1,1,0,0,47.609213,-122.144333,,6.0
48,2272.0,1022.0,1.0,1.0,2018-07-11T17:43:25-0700,1,1,1,0,1,0,1,0,0,47.6155,-122.2072,,8.0
49,1720.0,1010.0,2.0,2.0,2018-07-11T17:43:05-0700,0,0,0,0,0,0,0,0,0,47.386714,-122.196615,98030,11.0
50,1623.0,980.0,2.0,2.0,2018-07-11T17:42:54-0700,1,1,1,0,1,0,0,1,0,47.1042,-122.87,,6.0
51,1445.0,680.0,1.0,1.0,2018-07-11T17:42:29-0700,0,1,1,0,1,0,1,0,0,47.7377,-122.3431,98133,8.0
52,1900.0,637.0,1.0,1.0,2018-07-11T17:42:20-0700,1,1,1,0,1,0,1,0,0,47.634019,-122.325285,98102,18.0
53,1501.0,1099.0,2.0,2.0,2018-07-11T17:42:16-0700,1,1,1,0,1,0,0,1,0,47.037792,-122.79991,,24.0
54,2420.0,700.0,1.0,1.0,2018-07-11T17:30:46-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
55,1266.0,786.0,1.0,1.0,2018-07-11T17:41:33-0700,1,1,1,0,1,0,0,1,0,47.037533,-122.799158,,24.0
56,1950.0,613.0,1.0,1.0,2018-07-11T17:22:15-0700,1,1,1,0,1,0,1,0,0,47.6116,-122.3056,98122,5.0
57,1375.0,400.0,0.0,1.0,2018-07-11T17:41:10-0700,0,0,0,0,0,1,0,1,0,47.679331,-122.163501,98052,21.0
58,2553.0,754.0,1.0,1.0,2018-07-11T17:41:03-0700,1,1,1,0,1,0,1,0,0,47.6064,-122.337504,98101,6.0
59,1849.0,1450.0,3.0,,2018-07-11T17:20:57-0700,1,1,0,0,1,0,0,0,0,48.159041,-122.196444,98155,11.0
60,1695.0,1000.0,2.0,,2018-07-11T17:40:57-0700,0,0,1,0,0,0,1,0,0,47.670321,-122.199935,,7.0
61,1360.0,620.0,1.0,1.0,2018-07-11T17:40:55-0700,1,1,0,0,1,0,0,0,0,47.459973,-122.195892,,5.0
62,2529.0,795.0,1.0,1.0,2018-07-11T17:40:51-0700,1,1,1,0,1,0,1,0,0,47.606987,-122.338056,98101,6.0
63,1915.0,1086.0,1.0,1.0,2018-07-11T17:40:44-0700,1,1,1,0,1,0,0,1,0,47.242269,-122.433386,,8.0
64,2794.0,764.0,1.0,1.0,2018-07-11T17:40:35-0700,1,1,1,0,1,0,1,0,0,47.6064,-122.337504,98101,7.0
65,2995.0,809.0,1.0,1.0,2018-07-11T17:34:28-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
66,2500.0,2690.0,4.0,2.0,2018-06-15T13:12:24-0700,0,0,1,1,0,0,0,0,0,47.476102,-122.205332,98057,16.0
67,2550.0,1060.0,2.0,2.0,2018-07-11T17:40:24-0700,1,1,1,0,1,0,1,0,0,47.620802,-122.357118,98109,22.0
68,2750.0,3090.0,5.0,3.0,2018-06-27T22:12:30-0700,0,0,1,1,0,0,1,0,0,47.453281,-122.145822,98058,23.0
69,2549.0,789.0,1.0,1.0,2018-07-11T17:40:20-0700,1,1,1,0,1,0,1,0,0,47.606729,-122.339059,98101,6.0
70,1541.0,680.0,1.0,1.0,2018-07-11T17:40:18-0700,1,1,1,0,1,0,0,0,0,47.853712,-122.290449,98087,14.0
71,3000.0,3240.0,5.0,,2018-07-09T13:33:34-0700,0,0,0,1,0,0,1,0,0,47.293922,-122.252031,,22.0
72,2595.0,827.0,2.0,,2018-07-11T17:30:06-0700,1,1,1,0,1,0,1,0,0,47.633958,-122.342338,98109,14.0
73,1310.0,1168.0,2.0,2.0,2018-07-11T17:40:04-0700,1,0,1,0,1,0,0,0,0,47.1291,-122.4094,,15.0
74,2858.0,919.0,1.0,1.0,2018-07-11T17:40:02-0700,1,1,1,0,1,0,1,0,0,47.606987,-122.338056,98101,7.0
75,2917.0,1008.0,2.0,2.0,2018-07-11T17:40:01-0700,1,1,1,0,1,0,0,0,0,47.641677,-122.346162,98109,19.0
76,1231.0,,,,2018-07-11T17:39:59-0700,0,0,0,0,1,0,0,0,0,47.5846,-122.3005,,3.0
77,2495.0,774.0,1.0,1.0,2018-07-11T17:26:57-0700,1,1,1,0,1,0,1,0,0,47.604457,-122.317019,98122,15.0
78,2269.0,810.0,1.0,1.0,2018-06-29T10:28:38-0700,0,0,0,0,0,0,0,0,0,47.67552,-122.204835,98104,7.0
79,4336.0,1209.0,2.0,2.0,2018-07-11T17:39:08-0700,1,1,1,0,1,0,1,0,0,47.616763,-122.337674,98121,17.0
80,1590.0,1083.0,2.0,1.0,2018-07-11T17:39:28-0700,1,1,0,0,1,0,0,0,0,47.908144,-122.250109,,9.0
81,1095.0,247.0,0.0,1.0,2018-07-11T17:39:16-0700,0,1,0,0,1,1,0,0,0,47.666349,-122.303242,98105,6.0
82,2186.0,1190.0,3.0,2.0,2018-07-11T17:39:16-0700,1,1,1,0,1,0,0,1,0,47.2884,-122.098,98092,7.0
83,1455.0,884.0,2.0,2.0,2018-07-11T17:39:11-0700,1,1,1,0,1,0,0,0,0,47.9017,-122.2472,,5.0
84,1110.0,,0.0,1.0,2018-07-11T17:38:57-0700,1,1,0,0,1,1,0,0,0,47.645835,-122.325469,98102,11.0
85,774.0,,,,2018-07-11T17:38:55-0700,1,1,1,0,1,0,0,0,0,47.1424,-122.2652,,21.0
86,2080.0,730.0,1.0,1.0,2018-07-11T17:38:50-0700,0,0,0,0,0,0,0,0,0,47.678117,-122.130678,98052,20.0
87,1960.0,540.0,1.0,1.0,2018-07-11T17:23:46-0700,1,1,1,0,1,0,1,0,0,47.604459,-122.31711,98122,15.0
88,1382.0,700.0,2.0,2.0,2018-07-11T17:38:44-0700,1,1,1,0,1,0,0,0,0,47.848469,-122.298143,,5.0
89,1310.0,1168.0,2.0,2.0,2018-07-11T17:38:36-0700,1,0,1,0,1,0,0,0,0,47.1291,-122.4094,,15.0
90,1420.0,680.0,1.0,1.0,2018-07-11T17:38:28-0700,0,1,1,0,1,0,1,0,0,47.7377,-122.3431,98133,8.0
91,1759.0,1301.0,4.0,2.0,2018-07-11T17:19:12-0700,1,1,1,0,1,0,0,0,0,47.809355,-122.204202,98021,18.0
92,2750.0,1700.0,4.0,,2018-07-09T10:16:32-0700,0,0,0,1,0,0,0,0,0,47.556082,-122.393425,98136,7.0
93,1675.0,693.0,1.0,1.0,2018-07-11T17:38:02-0700,1,1,1,0,1,0,0,0,0,47.750456,-122.161043,98072,10.0
94,2895.0,700.0,1.0,1.0,2018-07-11T17:32:53-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
95,,,,,2018-07-11T17:37:47-0700,1,1,1,0,1,0,1,0,0,47.621366,-122.358277,98119,17.0
96,2625.0,659.0,1.0,1.0,2018-07-11T17:31:42-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
97,2720.0,1050.0,,,2018-07-11T17:37:30-0700,1,1,1,0,1,0,1,0,0,47.624707,-122.365592,98119,9.0
98,3306.0,,2.0,2.0,2018-07-11T17:37:25-0700,1,1,1,0,1,0,0,0,0,47.655738,-122.317819,98105,7.0
99,1570.0,687.0,1.0,1.0,2018-07-11T17:37:23-0700,1,1,1,0,1,0,0,0,0,47.307522,-122.229031,98104,24.0
100,2560.0,1050.0,3.0,2.0,2018-07-11T17:37:09-0700,0,1,1,0,1,0,1,0,0,47.7377,-122.3431,98133,7.0
101,2500.0,1100.0,2.0,2.0,2018-07-11T17:36:52-0700,1,1,1,0,1,0,1,0,0,47.599204,-122.303134,98144,7.0
102,1595.0,528.0,1.0,1.0,2018-07-11T17:36:52-0700,1,1,1,0,1,0,1,0,0,47.679617,-122.376739,98117,9.0
103,2448.0,1284.0,3.0,2.0,2018-07-11T17:36:16-0700,1,1,1,0,1,0,1,0,0,47.529681,-121.875121,98065,16.0
104,1500.0,760.0,1.0,1.0,2018-07-11T17:36:00-0700,1,1,1,0,1,0,1,0,0,47.621557,-122.360569,,5.0
105,1970.0,621.0,1.0,1.0,2018-07-11T17:35:55-0700,1,1,1,0,1,0,1,0,0,47.611321,-122.20251,98004,15.0
106,2274.0,1050.0,2.0,2.0,2018-07-11T17:35:52-0700,1,1,1,0,1,0,0,1,0,47.666763,-122.167279,98033,3.0
107,1722.0,680.0,1.0,1.0,2018-07-11T17:35:44-0700,1,1,1,0,1,0,0,0,0,47.7918,-122.2243,,9.0
108,864.0,,,,2018-07-11T17:35:43-0700,0,0,0,0,1,0,0,0,0,47.5846,-122.3005,,3.0
109,1923.0,864.0,1.0,1.0,2018-07-11T17:35:38-0700,1,1,1,0,1,0,0,1,0,47.636943,-122.200258,98004,23.0
110,1500.0,664.0,1.0,1.0,2018-07-11T17:35:37-0700,1,1,1,0,1,0,1,0,0,47.621557,-122.360569,,17.0
111,2031.0,981.0,2.0,2.0,2018-07-11T17:35:05-0700,1,1,1,0,1,0,1,0,0,47.621557,-122.360569,,6.0
112,3620.0,1100.0,2.0,2.0,2018-07-11T17:29:02-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
113,2350.0,640.0,1.0,1.0,2018-07-11T17:34:20-0700,1,1,1,0,1,0,1,0,0,47.617377,-122.353114,"e, WA",9.0
114,1880.0,513.0,1.0,1.0,2018-07-11T17:24:46-0700,1,1,1,0,1,0,1,0,0,47.62112,-122.357838,98119,14.0
115,1550.0,836.0,2.0,1.0,2018-07-11T17:33:46-0700,0,0,0,0,0,0,0,0,0,47.672223,-122.671451,98383,9.0
116,3525.0,1061.0,2.0,2.0,2018-07-11T17:33:16-0700,1,1,1,0,1,0,0,0,0,47.618096,-122.305241,98122,20.0
117,2595.0,827.0,2.0,,2018-07-11T17:28:47-0700,1,1,1,0,1,0,1,0,0,47.633958,-122.342338,98109,14.0
118,,,,,2018-07-11T17:37:47-0700,1,1,1,0,1,0,1,0,0,47.621366,-122.358277,98119,17.0
119,2625.0,659.0,1.0,1.0,2018-07-11T17:31:42-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
120,2720.0,1050.0,,,2018-07-11T17:37:30-0700,1,1,1,0,1,0,1,0,0,47.624707,-122.365592,98119,9.0
121,3306.0,,2.0,2.0,2018-07-11T17:37:25-0700,1,1,1,0,1,0,0,0,0,47.655738,-122.317819,98105,7.0
122,1570.0,687.0,1.0,1.0,2018-07-11T17:37:23-0700,1,1,1,0,1,0,0,0,0,47.307522,-122.229031,98104,24.0
123,2560.0,1050.0,3.0,2.0,2018-07-11T17:37:09-0700,0,1,1,0,1,0,1,0,0,47.7377,-122.3431,98133,7.0
124,2500.0,1100.0,2.0,2.0,2018-07-11T17:36:52-0700,1,1,1,0,1,0,1,0,0,47.599204,-122.303134,98144,7.0
125,1595.0,528.0,1.0,1.0,2018-07-11T17:36:52-0700,1,1,1,0,1,0,1,0,0,47.679617,-122.376739,98117,9.0
126,2448.0,1284.0,3.0,2.0,2018-07-11T17:36:16-0700,1,1,1,0,1,0,1,0,0,47.529681,-121.875121,98065,16.0
127,1500.0,760.0,1.0,1.0,2018-07-11T17:36:00-0700,1,1,1,0,1,0,1,0,0,47.621557,-122.360569,,5.0
128,1970.0,621.0,1.0,1.0,2018-07-11T17:35:55-0700,1,1,1,0,1,0,1,0,0,47.611321,-122.20251,,15.0
129,2274.0,1050.0,2.0,2.0,2018-07-11T17:35:52-0700,1,1,1,0,1,0,0,1,0,47.666763,-122.167279,98033,3.0
130,1722.0,680.0,1.0,1.0,2018-07-11T17:35:44-0700,1,1,1,0,1,0,0,0,0,47.7918,-122.2243,,9.0
131,864.0,,,,2018-07-11T17:35:43-0700,0,0,0,0,1,0,0,0,0,47.5846,-122.3005,,3.0
132,1923.0,864.0,1.0,1.0,2018-07-11T17:35:38-0700,1,1,1,0,1,0,0,1,0,47.636943,-122.200258,98004,23.0
